season,round,raceName,circuitId,circuitName,locality,country,lat,long,date,time
2026,1,Australian Grand Prix,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,2026-03-08,04:00:00Z
2026,2,Chinese Grand Prix,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,2026-03-15,07:00:00Z
2026,3,Japanese Grand Prix,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,2026-03-29,05:00:00Z
2026,4,Bahrain Grand Prix,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,2026-04-12,15:00:00Z
2026,5,Saudi Arabian Grand Prix,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,2026-04-19,17:00:00Z
2026,6,Miami Grand Prix,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,2026-05-03,20:00:00Z
2026,7,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,2026-05-24,18:00:00Z
2026,8,Monaco Grand Prix,monaco,Circuit de Monaco,Monte Carlo,Monaco,43.7347,7.42056,2026-06-07,13:00:00Z
2026,9,Barcelona Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111,2026-06-14,13:00:00Z
2026,10,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,2026-06-28,13:00:00Z
2026,11,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,2026-07-05,14:00:00Z
2026,12,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,2026-07-19,13:00:00Z
2026,13,Hungarian Grand Prix,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,2026-07-26,13:00:00Z
2026,14,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,2026-08-23,13:00:00Z
2026,15,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,2026-09-06,13:00:00Z
2026,16,Spanish Grand Prix,madring,Madring,Madrid,Spain,40.4168,-3.7038,2026-09-13,13:00:00Z
2026,17,Azerbaijan Grand Prix,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,2026-09-26,11:00:00Z
2026,18,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,2026-10-11,12:00:00Z
2026,19,United States Grand Prix,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,2026-10-25,19:00:00Z
2026,20,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2026-11-01,20:00:00Z
2026,21,Brazilian Grand Prix,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,2026-11-08,17:00:00Z
2026,22,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,Las Vegas,USA,36.1147,-115.173,2026-11-22,04:00:00Z
2026,23,Qatar Grand Prix,losail,Losail International Circuit,Lusail,Qatar,25.49,51.4542,2026-11-29,16:00:00Z
2026,24,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,2026-12-06,13:00:00Z
